date;stc;fbc
2000.IV;-4,290039225;18,2501303
2001.I;-4,719146725;18,36651649
2001.II;-4,765079669;18,49952737
2001.III;-4,81179839;18,73243143
2001.IV;-4,513021069;18,02837771
2002.I;-3,991092184;17,63748271
2002.II;-3,679715013;17,77492788
2002.III;-2,534643145;17,20892634
2002.IV;-1,509123861;16,19619977
2003.I;-0,959388604;15,55232938
2003.II;-0,155679467;14,83979461
2003.III;0,108690364;14,93785923
2003.IV;0,182751605;15,77077642
2004.I;0,42304022;16,48411227
2004.II;0,876160527;17,25708738
2004.III;1,159048819;17,44878533
2004.IV;1,357304244;17,1173496
2005.I;1,433753809;16,79210744
2005.II;1,210079596;16,61095232
2005.III;1,073707499;16,53063658
2005.IV;1,142343139;16,20574138
2006.I;0,941947257;16,1967154
2006.II;0,775807382;16,18538041
2006.III;0,87334926;16,41677592
2006.IV;0,825458736;16,7558422
2007.I;0,684337777;17,14974238
2007.II;0,693806613;17,43876084
2007.III;0,145284989;17,97853826
2007.IV;-0,245171639;18,3276195
2008.I;-0,903266453;19,01630738
2008.II;-1,402089726;19,90691345
2008.III;-1,73944423;20,53801065
2008.IV;-1,916008018;20,69442587
2009.I;-1,740144771;19,74613693
2009.II;-1,545483002;18,56240864
2009.III;-1,590282294;17,69349139
2009.IV;-1,932081091;17,83803435
2010.I;-2,447000691;19,09263218
2010.II;-3,090317046;20,22821779
2010.III;-3,627490436;21,42650093
2010.IV;-3,856211238;21,80132157
2011.I;-3,731061037;22,01687858
2011.II;-3,450329929;22,13500318
2011.III;-3,282252462;21,90183485
2011.IV;-3,272420441;21,82627111
2012.I;-3,129346977;21,95507179
2012.II;-3,286805639;21,90685243
2012.III;-3,228617574;21,81942112
2012.IV;-3,380475979;21,41722537
2013.I;-3,651852898;21,53637615
2013.II;-3,441968396;21,54657526
2013.III;-3,523122937;21,75907233
2013.IV;-3,371072784;21,69376694
2014.I;-3,644062831;21,61201642
2014.II;-3,942918626;21,19641042
2014.III;-4,132033833;20,81434775
2014.IV;-4,543434426;20,54841076
2015.I;-4,517292456;20,11736325
2015.II;-4,272194466;19,51305379
2015.III;-3,895836474;18,69715574
2015.IV;-3,194996866;17,6114111
2016.I;-2,538904233;16,44247585
2016.II;-1,911747816;15,90261452
2016.III;-1,605917956;15,55106114
