date;ipca;previdencia
01/01/1997;1379,33;3402,2
01/02/1997;1386,23;3328,6
01/03/1997;1393,30;3436,8
01/04/1997;1405,56;3364,6
01/05/1997;1411,32;3509
01/06/1997;1418,94;3539,4
01/07/1997;1422,06;3729,8154
01/08/1997;1421,78;3762,041
01/09/1997;1422,63;3821,9395
01/10/1997;1425,90;3835,810745
01/11/1997;1428,32;4208,088403
01/12/1997;1434,46;7112,169105
01/01/1998;1444,64;3898,057
01/02/1998;1451,29;3870,363
01/03/1998;1456,22;3895,354
01/04/1998;1459,71;3955,098
01/05/1998;1467,01;3951,118
01/06/1998;1467,30;4064,329
01/07/1998;1465,54;4237,24
01/08/1998;1458,07;4267,533
01/09/1998;1454,86;4294,836
01/10/1998;1455,15;4311,200222
01/11/1998;1453,40;4743,556095
01/12/1998;1458,20;7886,966156
01/01/1999;1468,41;4320,776249
01/02/1999;1483,83;4267,708641
01/03/1999;1500,15;4324,852047
01/04/1999;1508,55;4349,777984
01/05/1999;1513,08;4374,053012
01/06/1999;1515,95;4442,303737
01/07/1999;1532,47;4631,165254
01/08/1999;1541,05;4621,44223
01/09/1999;1545,83;4623,487525
01/10/1999;1564,23;4727,12745
01/11/1999;1579,09;5153,66252
01/12/1999;1588,56;8703,666324
01/01/2000;1598,41;4671,814251
01/02/2000;1600,49;4670,670546
01/03/2000;1604,01;4781,336067
01/04/2000;1610,75;4810,729656
01/05/2000;1610,91;4995,425724
01/06/2000;1614,62;5056,694973
01/07/2000;1640,62;5199,701106
01/08/2000;1662,11;5260,465829
01/09/2000;1665,93;5334,23847
01/10/2000;1668,26;5405,53515
01/11/2000;1673,60;5885,492594
01/12/2000;1683,47;9714,975278
01/01/2001;1693,07;5260,030593
01/02/2001;1700,86;5301,791498
01/03/2001;1707,32;5448,051353
01/04/2001;1717,22;5464,756556
01/05/2001;1724,26;5798,067147
01/06/2001;1733,23;5835,744109
01/07/2001;1756,28;6120,585836
01/08/2001;1768,57;6092,50001
01/09/2001;1773,52;6019,147419
01/10/2001;1788,24;6026,73888
01/11/2001;1800,94;6676,86872
01/12/2001;1812,65;11283,82428
01/01/2002;1822,08;6157,927843
01/02/2002;1828,64;6254,655169
01/03/2002;1839,61;6316,664137
01/04/2002;1854,33;6413,80496
01/05/2002;1858,22;6608,62367
