;receita;despesa;dlsp;dbgg
dez/97;451917,9585;445732,134;;
jan/98;459876,9118;448523,6686;;
fev/98;463956,7665;453907,9598;;
mar/98;474682,1269;462531,9606;;
abr/98;479439,8459;466624,2172;;
mai/98;480740,4766;468752,4678;;
jun/98;481364,9501;475670,6643;;
jul/98;481286,5266;475317,5068;;
ago/98;501522,0318;482157,5252;;
set/98;501794,6309;482513,1331;;
out/98;499760,6376;482702,1814;;
nov/98;504606,9216;492244,7178;;
dez/98;508577,5677;483907,1997;;
jan/99;506140,4997;480824,3396;;
fev/99;511847,6542;482424,6706;;
mar/99;515791,7187;479756,0855;;
abr/99;516218,1159;478101,3028;;
mai/99;516868,5609;480603,5659;;
jun/99;531566,2305;477426,893;;
jul/99;542718,4663;481820,5325;;
ago/99;531187,1066;480845,3965;;
set/99;543340,1901;479805,9413;;
out/99;548949,3919;479101,3843;;
nov/99;551859,3493;475874,4272;;
dez/99;553941,4829;490806,9024;;
jan/00;559986,9052;494914,0028;;
fev/00;558891,2768;494463,8656;;
mar/00;555644,4015;493596,3828;;
abr/00;559214,5386;493465,7648;;
mai/00;569666,3714;493397,7611;;
jun/00;566001,0443;496837,027;;
jul/00;561822,0891;498303,3036;;
ago/00;565784,3162;501065,3043;;
set/00;562545,3739;504081,6408;;
out/00;569111,495;509267,7594;;
nov/00;572406,7675;511264,6675;;
dez/00;574122,445;512737,9897;;
jan/01;580397,8618;516246,9807;;
fev/01;579846,9274;518482,864;;
mar/01;581222,7974;521772,4107;;
abr/01;592778,8257;526960,2532;;
mai/01;598774,4141;531818,2786;;
jun/01;600616,4969;534202,3845;;
jul/01;605880,3631;537285,9812;;
ago/01;606053,9824;540386,9987;;
set/01;607563,0991;542257,7208;;
out/01;612482,561;543778,2505;;
nov/01;613516,5144;546402,4952;;
dez/01;616134,522;556092,8094;;
jan/02;628338,05;559766,386;;
fev/02;636065,2804;562532,0223;;
mar/02;634566,4174;565816,4282;;
abr/02;634384,6234;568951,6661;;
mai/02;631722,5047;571236,1705;;
jun/02;632448,1545;571737,3879;;
jul/02;640349,0408;578374,6732;;
ago/02;639328,3541;580455,5758;;
set/02;654132,5309;582204,0495;;
out/02;661567,659;586668,7238;;
nov/02;665150,0287;589879,2536;;
dez/02;669106,4104;588604,3727;;
jan/03;667171,0883;586057,058;;
fev/03;667479,9072;584335,2346;;
mar/03;665451,2749;578348,4649;;
abr/03;668039,1309;574400,6308;;
mai/03;667612,0172;570540,4018;;
jun/03;665232,1771;571004,5082;;
jul/03;663057,714;567194,9791;;
ago/03;663302,7916;565350,9397;;
set/03;653240,4122;564420,1484;;
out/03;651261,7585;562443,1754;;
nov/03;652041,5395;560612,1565;;
dez/03;652015,1521;565820,5555;;
jan/04;652222,6798;567043,1963;;
fev/04;656240,1923;570655,49;;
mar/04;667308,3165;578854,6584;;
abr/04;668333,3166;586227,17;;
mai/04;672897,9618;591093,2421;;
jun/04;687634,1324;595855,7246;;
jul/04;693310,5185;600264,0921;;
ago/04;698942,2539;604290,1786;;
set/04;707025,5773;610984,2045;;
out/04;709178,573;612901,7047;;
nov/04;711559,1107;616828,6467;;
dez/04;725101,1532;623187,5728;;
jan/05;730355,3872;627266,943;;
fev/05;733198,2605;635155,5151;;
mar/05;737220,2967;638410,5145;;
abr/05;745845,9323;637395,653;;
mai/05;747286,463;641316,3656;;
jun/05;752362,9545;646977,9162;;
jul/05;755642,7345;648542,2427;;
ago/05;762042,5837;654725,6753;;
set/05;762343,64;659214,2263;;
out/05;767979,085;663322,2851;;
nov/05;772969,0872;669416,2105;;
dez/05;779396,2523;677854,0351;;
jan/06;781183,8243;688563,7801;;
fev/06;782866,1564;687505,245;;
mar/06;784455,4501;688417,4409;;
abr/06;790755,5501;692172,6723;;
mai/06;796321,9156;698170,4614;;
jun/06;799397,4492;701150,5041;;
jul/06;803380,0905;708660,1876;;
ago/06;809941,0027;710914,2893;;
set/06;819673,005;725255,8067;;
out/06;826898,3672;731008,1979;;
nov/06;829748,4071;736869,6817;;
dez/06;830735,9051;740857,8776;46,4858235;55,47510614
jan/07;840740,9509;737542,8814;45,93830367;56,15782445
fev/07;844310,5238;741502,6282;45,85236075;56,89094997
mar/07;853456,4361;757167,5214;45,81003529;57,23765581
abr/07;859695,5147;765247,3969;45,08705719;57,17224725
mai/07;867414,1265;770303,3396;45,23919113;57,92234416
jun/07;871225,1431;776023,7662;44,80019436;58,22503164
jul/07;879261,164;780477,07;44,73879574;58,33194491
ago/07;881703,0889;787979,7614;44,10210676;58,47251319
