"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Brasil"
"Variável";"Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número índice)"
"Trimestre";"Setores e subsetores"
;"Agropecuária - total";"Indústria - total";"Serviços - total";"PIB a preços de mercado";"Despesa de consumo das famílias";"Despesa de consumo da administração pública";"Formação bruta de capital fixo";"Exportação de bens e serviços";"Importação de bens e serviços (-)"
"janeiro-março 1996";105,32;93,19;98,31;96,84;96,06;96,12;92,91;95,16;82,07
"abril-junho 1996";105,50;97,90;100,58;100,12;99,75;100,07;101,18;104,64;98,20
"julho-setembro 1996";108,10;111,62;105,75;107,56;104,74;105,00;105,26;106,67;114,44
"outubro-dezembro 1996";92,89;101,19;104,55;104,31;112,39;91,51;105,43;91,85;127,67
"janeiro-março 1997";112,67;96,25;100,20;100,13;103,65;97,30;103,37;94,70;104,68
"abril-junho 1997";110,16;105,77;102,85;104,88;105,73;99,28;112,01;119,64;121,60
"julho-setembro 1997";109,69;111,85;107,10;109,49;106,90;99,00;114,22;125,34;132,62
"outubro-dezembro 1997";82,64;107,70;109,43;108,21;109,20;102,02;109,26;102,54;125,13
"janeiro-março 1998";111,07;96,31;101,60;101,14;103,13;98,49;106,98;104,57;112,90
"abril-junho 1998";124,57;105,47;104,76;106,46;104,59;101,52;114,41;125,39;118,86
"julho-setembro 1998";115,41;108,83;109,02;109,88;106,93;104,32;112,84;125,17;129,85
"outubro-dezembro 1998";78,27;102,15;110,15;106,66;107,76;106,07;103,91;108,79;122,14
"janeiro-março 1999";125,05;92,23;104,41;101,92;102,16;99,19;98,00;104,47;92,73
"abril-junho 1999";126,56;100,81;106,51;106,04;103,95;102,52;102,51;124,12;101,07
"julho-setembro 1999";119,43;105,00;109,99;109,20;106,80;105,45;100,03;129,29;105,48
"outubro-dezembro 1999";86,29;103,95;112,37;108,97;111,09;110,16;98,71;132,51;111,45
"janeiro-março 2000";132,75;96,45;107,68;106,40;105,24;102,71;97,70;126,08;96,52
"abril-junho 2000";130,92;104,78;110,04;110,25;108,36;103,87;106,51;138,00;108,46
"julho-setembro 2000";121,22;109,67;114,74;114,19;111,88;103,00;106,83;153,32;124,19
"outubro-dezembro 2000";84,88;108,83;117,48;113,98;115,63;107,11;107,43;136,06;125,92
"janeiro-março 2001";136,59;100,42;110,29;110,10;109,48;103,83;107,70;140,18;119,95
"abril-junho 2001";134,90;105,23;113,54;112,82;111,71;106,20;108,68;157,08;122,37
"julho-setembro 2001";128,45;106,79;116,73;114,71;109,83;106,60;108,10;157,94;117,73
"outubro-dezembro 2001";94,27;104,59;118,66;113,38;113,49;110,97;99,44;149,34;110,19
"janeiro-março 2002";143,03;98,08;113,53;110,63;109,74;108,26;99,17;133,77;97,66
"abril-junho 2002";144,80;107,66;116,37;115,41;112,49;110,58;104,04;139,69;102,14
"julho-setembro 2002";143,46;112,93;120,69;119,50;112,81;111,06;107,62;189,75;107,59
"outubro-dezembro 2002";102,56;114,21;122,97;119,24;115,33;114,02;106,99;180,49;100,28
"janeiro-março 2003";165,01;98,15;115,61;113,58;109,72;107,45;102,26;153,39;93,13
"abril-junho 2003";164,26;105,52;117,40;116,31;110,19;110,86;96,93;177,97;97,94
"julho-setembro 2003";145,57;115,09;121,26;120,25;111,99;113,29;100,21;192,73;103,62
"outubro-dezembro 2003";103,35;114,59;123,99;119,94;116,01;119,41;101,76;190,52;111,01
"janeiro-março 2004";165,03;105,39;119,45;117,98;110,71;111,37;103,19;181,37;102,70
"abril-junho 2004";167,55;114,92;123,94;123,65;113,62;118,02;108,51;201,17;109,95
"julho-setembro 2004";152,20;125,25;127,59;128,14;117,46;118,18;114,41;219,15;117,07
"outubro-dezembro 2004";104,95;123,38;131,24;127,39;123,69;120,91;109,09;216,35;118,02
"janeiro-março 2005";170,28;109,82;124,87;122,92;116,60;115,50;104,60;199,30;111,86
"abril-junho 2005";171,54;120,94;129,18;129,18;119,06;118,72;111,81;223,56;119,10
"julho-setembro 2005";149,15;123,86;132,10;130,85;122,61;120,21;115,40;243,05;126,11
"outubro-dezembro 2005";105,37;123,68;134,46;130,13;127,80;123,48;111,90;231,03;124,08
"janeiro-março 2006";171,13;113,45;130,62;128,18;122,35;118,92;113,80;216,22;128,41
"abril-junho 2006";170,97;118,69;134,21;132,13;125,96;121,55;115,85;219,70;134,68
"julho-setembro 2006";165,72;127,01;137,86;136,72;129,10;123,29;122,05;261,66;151,72
"outubro-dezembro 2006";116,18;128,74;140,46;136,37;134,35;131,16;121,58;242,74;151,81
"janeiro-março 2007";177,74;118,14;138,04;134,84;130,12;124,08;122,00;228,19;153,26
"abril-junho 2007";171,99;129,07;142,25;140,77;133,74;129,57;130,25;247,91;158,36
"julho-setembro 2007";173,48;135,84;145,27;144,75;136,57;129,30;139,41;264,74;181,12
"outubro-dezembro 2007";121,05;135,12;149,24;145,43;143,95;132,10;138,18;257,56;184,69
"janeiro-março 2008";186,20;126,58;145,34;143,14;139,44;127,77;136,67;224,18;176,97
"abril-junho 2008";191,02;135,83;150,48;149,69;143,15;130,17;148,01;262,52;195,71
"julho-setembro 2008";182,18;145,04;154,29;154,86;147,99;134,39;164,44;273,57;219,98
"outubro-dezembro 2008";122,05;131,97;152,43;146,92;149,00;133,26;145,82;242,22;200,11
"janeiro-março 2009";183,59;112,91;146,76;139,66;142,61;131,84;123,70;192,54;154,03
"abril-junho 2009";180,49;125,01;151,50;146,39;148,82;132,99;135,74;236,47;171,06
"julho-setembro 2009";168,51;136,69;156,47;153,06;154,60;134,80;158,10;247,75;194,54
"outubro-dezembro 2009";123,44;139,44;160,25;154,75;159,37;141,45;164,71;233,02;212,87
"janeiro-março 2010";196,20;130,20;155,91;152,54;153,27;135,74;159,60;222,32;213,98
"abril-junho 2010";198,64;141,26;160,66;158,88;156,88;139,81;166,89;253,13;232,85
"julho-setembro 2010";177,85;148,05;165,43;163,63;162,77;141,32;182,23;276,31;267,03
"outubro-dezembro 2010";127,28;146,99;168,68;163,52;170,21;145,41;177,48;264,67;265,06
"janeiro-março 2011";206,75;137,66;163,11;160,39;163,00;139,29;172,57;231,93;239,24
"abril-junho 2011";200,08;148,46;167,47;166,24;167,15;144,47;180,23;269,77;265,96
"julho-setembro 2011";191,49;153,90;169,89;169,30;169,07;143,88;192,45;288,53;282,93
"outubro-dezembro 2011";141,11;149,70;172,01;167,61;174,39;147,27;186,95;274,88;283,02
"janeiro-março 2012";183,48;140,96;166,54;163,05;167,75;142,24;177,85;243,22;254,01
"abril-junho 2012";199,71;143,74;171,45;167,84;170,81;147,55;182,16;265,33;271,21
"julho-setembro 2012";200,58;153,16;175,51;173,52;175,74;146,67;189,58;276,87;266,33
"outubro-dezembro 2012";132,87;147,49;178,51;171,84;182,91;151,56;188,12;282,58;287,37
"janeiro-março 2013";223,27;138,78;171,42;167,63;174,49;141,99;183,17;231,50;271,46
"abril-junho 2013";220,23;149,99;176,95;174,71;178,08;149,22;197,68;282,23;290,22
"julho-setembro 2013";195,10;157,63;180,30;178,31;181,83;150,32;203,51;285,73;298,25
"outubro-dezembro 2013";137,97;151,88;182,39;175,99;187,05;155,39;196,33;294,09;297,10
"janeiro-março 2014";237,12;145,17;175,26;172,94;179,56;145,19;190,51;239,09;274,84
"abril-junho 2014";218,90;145,87;176,87;173,25;179,20;151,54;184,60;281,60;281,94
"julho-setembro 2014";195,68;153,04;179,73;176,38;181,94;152,48;187,76;298,86;304,13
"outubro-dezembro 2014";141,03;148,68;181,76;174,79;190,28;154,67;182,83;262,51;284,01
"janeiro-março 2015";250,01;138,78;172,76;169,45;176,94;144,49;171,18;247,04;261,18
"abril-junho 2015";223,64;137,53;173,65;168,06;173,74;151,07;160,82;303,24;249,50
"julho-setembro 2015";191,78;142,84;174,44;168,53;173,68;151,83;159,54;302,15;243,34
"outubro-dezembro 2015";141,82;136,82;173,79;164,49;177,40;150,16;149,04;295,49;226,95
"janeiro-março 2016";240,71;128,62;166,37;160,26;165,84;142,40;141,26;279,22;204,54
"abril-junho 2016";216,82;133,34;167,84;161,70;165,11;147,69;146,69;316,21;223,16
"Fonte: IBGE - Contas Nacionais Trimestrais"
