"Tabela 1621 - Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100)"
"Brasil"
"Variável";"Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100) (Número índice)"
"Trimestre";"Setores e subsetores"
;"Agropecuária - total";"Indústria - total";"Serviços - total";"PIB a preços de mercado";"Despesa de consumo das famílias";"Despesa de consumo da administração pública";"Formação bruta de capital fixo";"Exportação de bens e serviços";"Importação de bens e serviços (-)"
"janeiro-março 1996";94,88;101,23;101,79;100,84;98,87;99,13;96,77;98,77;91,36
"abril-junho 1996";96,04;97,05;102,16;100,36;100,91;100,73;99,01;96,15;99,86
"julho-setembro 1996";102,21;106,07;103,86;104,40;103,63;104,24;102,11;95,81;107,14
"outubro-dezembro 1996";126,75;99,61;101,42;103,28;109,22;88,60;106,81;100,75;118,63
"janeiro-março 1997";101,41;104,18;103,63;104,07;106,66;100,30;108,39;105,28;118,83
"abril-junho 1997";100,09;104,90;104,43;105,10;106,95;99,90;108,75;111,49;123,57
"julho-setembro 1997";103,99;106,47;105,24;106,41;105,81;98,34;110,98;114,61;124,19
"outubro-dezembro 1997";112,97;106,09;106,30;107,19;106,09;99,09;110,66;110,34;116,54
"janeiro-março 1998";99,76;104,04;104,98;104,97;106,10;101,40;110,83;115,53;127,78
"abril-junho 1998";112,84;104,63;106,35;106,66;105,77;102,09;112,18;118,41;120,66
"julho-setembro 1998";109,87;103,69;107,21;106,94;105,95;103,87;110,06;114,13;121,57
"outubro-dezembro 1998";107,32;100,47;107,00;105,67;104,67;103,14;105,11;114,85;114,57
"janeiro-março 1999";111,94;99,73;107,75;105,59;105,03;101,92;102,09;116,22;104,06
"abril-junho 1999";114,30;100,06;108,10;106,21;105,09;103,07;99,74;118,85;102,58
"julho-setembro 1999";114,18;100,14;108,23;106,41;105,95;105,22;97,99;117,60;98,69
"outubro-dezembro 1999";118,89;102,08;109,21;108,00;107,91;107,20;99,60;136,33;105,59
"janeiro-março 2000";118,33;103,75;111,01;109,92;108,07;105,30;99,98;132,06;105,02
"abril-junho 2000";117,82;104,24;111,61;110,42;109,51;104,37;105,48;134,79;109,84
"julho-setembro 2000";116,56;104,97;113,03;111,54;111,16;102,96;104,92;144,87;120,17
"outubro-dezembro 2000";117,33;106,65;114,31;113,02;112,30;104,12;108,06;141,70;124,29
"janeiro-março 2001";121,34;107,65;113,61;113,49;112,29;106,34;109,61;150,57;127,48
"abril-junho 2001";120,99;105,07;115,07;112,99;112,89;106,63;108,51;154,98;123,74
"julho-setembro 2001";124,04;102,05;115,08;112,14;109,28;106,67;106,10;149,36;114,30
"outubro-dezembro 2001";130,81;102,03;115,46;112,43;110,18;107,97;99,68;147,94;106,33
"janeiro-março 2002";126,72;105,45;116,92;113,96;112,46;110,80;102,07;150,31;105,87
"abril-junho 2002";129,38;107,86;117,75;115,58;113,68;110,93;103,18;138,48;103,04
"julho-setembro 2002";139,17;108,03;119,13;116,95;112,36;111,15;105,35;176,79;101,74
"outubro-dezembro 2002";142,60;111,28;119,80;118,32;111,92;111,05;106,90;176,72;97,38
"janeiro-março 2003";146,02;105,73;119,03;116,88;112,38;110,00;103,59;171,84;99,91
"abril-junho 2003";146,40;106,04;118,63;116,47;111,38;111,18;98,15;176,96;98,91
"julho-setembro 2003";141,42;109,98;119,78;117,66;111,61;113,38;97,75;179,63;98,16
"outubro-dezembro 2003";144,08;111,29;120,88;119,09;112,55;116,35;101,59;185,53;108,21
"janeiro-março 2004";145,93;113,28;122,88;121,30;113,34;114,10;105,46;193,86;107,28
"abril-junho 2004";149,17;115,60;124,98;123,76;114,86;118,31;109,22;200,84;111,36
"julho-setembro 2004";148,00;120,01;126,20;125,51;117,13;118,24;111,23;204,99;110,97
"outubro-dezembro 2004";146,09;119,89;128,27;126,60;119,95;117,76;109,07;211,20;114,92
"janeiro-março 2005";150,76;117,88;128,23;126,28;119,35;118,35;108,45;219,35;119,10
"abril-junho 2005";152,97;121,70;130,06;129,25;120,38;119,01;111,08;223,82;121,17
"julho-setembro 2005";144,59;118,53;130,84;128,17;122,29;120,25;111,91;227,51;119,08
"outubro-dezembro 2005";146,43;120,10;131,53;129,35;123,89;120,22;112,10;229,88;124,42
"janeiro-março 2006";151,81;121,65;133,98;131,63;125,25;121,84;116,36;233,74;132,87
"abril-junho 2006";152,83;119,37;134,97;132,17;127,37;121,89;116,84;219,50;137,55
"julho-setembro 2006";160,22;121,71;136,66;134,00;128,73;123,32;118,11;249,68;147,14
"outubro-dezembro 2006";160,80;125,19;137,58;135,55;130,28;127,85;121,74;240,40;151,92
"janeiro-março 2007";158,03;126,33;141,38;138,40;133,22;126,97;126,13;248,75;159,14
"abril-junho 2007";154,19;129,68;142,99;140,81;135,22;130,03;130,44;246,08;162,30
"julho-setembro 2007";167,28;130,55;144,06;141,94;136,12;129,32;134,66;252,40;174,84
"outubro-dezembro 2007";167,14;131,61;146,32;144,53;139,65;128,67;137,91;250,33;178,94
"janeiro-março 2008";165,58;134,89;148,76;146,86;142,77;130,76;142,80;244,73;186,42
"abril-junho 2008";171,54;136,26;151,24;149,72;144,71;130,59;147,56;258,68;200,69
"julho-setembro 2008";175,86;139,69;153,00;151,98;147,45;134,39;158,51;257,06;205,85
"outubro-dezembro 2008";168,06;128,68;149,46;145,94;144,62;129,82;144,92;235,06;193,25
"janeiro-março 2009";163,06;121,16;150,29;143,54;145,98;134,94;128,14;220,85;166,19
"abril-junho 2009";162,08;125,45;152,29;146,43;150,48;133,32;137,31;232,29;174,68
"julho-setembro 2009";163,19;131,09;155,09;150,07;154,01;134,77;152,21;230,21;182,96
"outubro-dezembro 2009";170,22;136,46;157,20;153,75;154,67;137,95;163,18;227,03;204,95
"janeiro-março 2010";173,43;138,39;159,61;156,53;156,91;139,13;167,08;249,95;231,26
"abril-junho 2010";178,05;141,66;161,45;158,90;158,65;139,93;167,49;249,80;236,06
"julho-setembro 2010";173,44;142,24;163,96;160,59;162,14;141,27;175,47;258,24;253,52
"outubro-dezembro 2010";176,17;144,43;165,59;162,57;165,18;141,80;175,75;257,93;254,74
"janeiro-março 2011";181,24;145,50;166,91;164,32;166,77;143,08;178,29;260,53;257,83
"abril-junho 2011";179,10;149,07;168,29;166,30;169,13;144,36;182,96;266,35;268,34
"julho-setembro 2011";188,28;147,88;168,35;166,24;168,52;143,76;185,68;270,86;270,48
"outubro-dezembro 2011";196,60;147,50;168,89;166,75;169,14;143,45;185,47;270,65;281,10
"janeiro-março 2012";158,91;148,39;170,39;166,81;171,50;146,63;184,69;266,77;266,94
"abril-junho 2012";178,89;144,57;172,29;167,97;172,94;147,13;183,03;260,83;272,85
"julho-setembro 2012";198,98;147,03;173,94;170,55;175,36;146,39;183,59;264,50;263,77
"outubro-dezembro 2012";186,13;145,65;175,40;171,06;177,25;147,64;186,89;272,38;277,42
"janeiro-março 2013";191,01;145,60;175,25;171,10;178,16;146,86;190,82;264,47;290,10
"abril-junho 2013";197,72;151,24;177,83;174,96;180,53;148,65;197,01;274,96;291,31
"julho-setembro 2013";195,03;151,42;178,73;175,44;181,64;149,78;197,78;270,34;286,37
"outubro-dezembro 2013";194,14;150,19;179,26;175,26;181,00;151,44;195,26;284,69;288,04
"janeiro-março 2014";200,59;151,61;179,06;176,15;183,21;150,42;194,34;272,09;293,26
"abril-junho 2014";197,08;147,35;177,77;173,60;181,88;150,90;187,20;272,39;282,54
"julho-setembro 2014";197,00;146,91;178,16;173,63;181,88;151,69;182,86;284,02;291,48
"outubro-dezembro 2014";198,83;147,01;178,67;174,10;183,94;150,78;181,78;255,24;276,42
"janeiro-março 2015";209,59;144,90;176,49;172,41;180,41;149,92;176,34;279,18;278,55
"abril-junho 2015";202,03;139,20;174,58;168,50;176,55;150,47;161,34;291,85;250,07
"julho-setembro 2015";194,08;136,86;172,87;165,89;173,70;150,77;155,28;288,38;232,23
"outubro-dezembro 2015";199,96;135,02;170,71;163,79;171,31;146,39;148,40;290,29;221,74
"janeiro-março 2016";200,57;134,66;170,06;163,08;169,05;147,91;146,01;302,81;213,94
"abril-junho 2016";196,49;135,03;168,78;162,16;167,90;147,09;146,61;304,11;223,62
"Fonte: IBGE - Contas Nacionais Trimestrais"
